label,trend,seasonal,hike_effect,covid_main_effect,covid_wave1_effect,covid_2021_effect,fitted,residual
2013-08-01,12.584151368150678,-0.057750104101160805,-0.0,0.0,0.0,0.0,12.526401264049518,-0.0034251793917725593
2013-09-01,12.585398450332836,-0.05871992527412594,-0.0,0.0,0.0,0.0,12.52667852505871,-0.005364575460278687
2013-10-01,12.588497171094899,-0.023584314023540456,-0.0,0.0,0.0,0.0,12.564912857071358,-0.007419547184927211
2013-11-01,12.594156819861427,0.05644256242721049,-0.0,0.0,0.0,0.0,12.650599382288638,0.007879207518119102
2013-12-01,12.597096909992883,0.34065374458734,-0.0,0.0,0.0,0.0,12.937750654580224,0.002402359847888391
2014-01-01,12.599207818388896,-0.14123788380298716,-0.0,0.0,0.0,0.0,12.45796993458591,-0.0024701962280104794
2014-02-01,12.60217134618157,-0.11306903071163661,-0.0,0.0,0.0,0.0,12.489102315469934,-0.0018021332591118266
2014-03-01,12.605756905965293,-0.020182603442680875,-0.0,0.0,0.0,0.0,12.585574302522613,0.040730545553222086
2014-04-01,12.595284008313605,-0.044095850344460036,-0.0,0.0,0.0,0.0,12.551188157969145,-0.01707515296264006
2014-05-01,12.590704748890836,-0.06781754515164747,-0.0,0.0,0.0,0.0,12.522887203739188,-0.004152109696692108
2014-06-01,12.58755863947169,0.0014371459530169947,-0.0,0.0,0.0,0.0,12.588995785424707,-0.002987828050551755
2014-07-01,12.585443820598533,0.1262605743601232,-0.0,0.0,0.0,0.0,12.711704394958655,-0.006309031136133569
2014-08-01,12.585506632899953,-0.06052587020981601,-0.0,0.0,0.0,0.0,12.524980762690138,-0.012291441094403055
2014-09-01,12.589811952896392,-0.05405379613071944,-0.0,0.0,0.0,0.0,12.535758156765672,0.011543252297380846
2014-10-01,12.590133047872925,-0.01828565637540969,-0.0,0.0,0.0,0.0,12.571847391497515,-6.969643305509976e-05
2014-11-01,12.590478219074804,0.04953614259715606,-0.0,0.0,0.0,0.0,12.640014361671959,-0.012688564353009468
2014-12-01,12.595202968670389,0.33435089671959567,-0.0,0.0,0.0,0.0,12.929553865389984,0.008737624284542278
2015-01-01,12.596911878208882,-0.1338401946356683,-0.0,0.0,0.0,0.0,12.463071683573213,-0.001125020506115959
2015-02-01,12.599009117353537,-0.11071625119874944,-0.0,0.0,0.0,0.0,12.488292866154788,0.0021651737505070656
2015-03-01,12.600359049681012,-0.024146665199818642,-0.0,0.0,0.0,0.0,12.576212384481193,-0.0059064315444157245
2015-04-01,12.60374765356987,-0.04004223513525349,-0.0,0.0,0.0,0.0,12.563705418434617,-0.0025911621283896125
2015-05-01,12.60803063734193,-0.06816914168031023,-0.0,0.0,0.0,0.0,12.53986149566162,-0.006699783800792503
2015-06-01,12.61462612353817,0.0038667244571423762,-0.0,0.0,0.0,0.0,12.618492847995311,0.006142095120281965
2015-07-01,12.619101635277998,0.11909859176704514,-0.0,0.0,0.0,0.0,12.738200227045043,-0.0007878189311831818
2015-08-01,12.623849086330287,-0.05700057325828177,-0.0,0.0,0.0,0.0,12.566848513072005,0.008108240303332792
2015-09-01,12.62579793107675,-0.05687859679779576,-0.0,0.0,0.0,0.0,12.568919334278954,0.00035789064478208843
