model_id,model_label,model_family,rho,parameter,parameter_group,estimate,std_error,z_value,p_value,percent_conversion,percent_conversion_se
covid_decay_rho_095,COVID decay intervention (rho=0.95),covid_decay,0.95,covid_decay_effect,event,0.05367726395579073,0.03545375978480164,1.5140076618559692,0.13002389624557,5.51440141928188,3.740882241756353
covid_decay_rho_095,COVID decay intervention (rho=0.95),covid_decay,0.95,post_stat_change_effect,event,-0.04139332490662968,0.026395255427718246,-1.5682108104610963,0.11683194232582507,-4.054832051991716,2.532497215043004
covid_decay_rho_098,COVID decay intervention (rho=0.98),covid_decay,0.98,obs_error,variance,0.000244393073566577,3.8135071914924665e-05,6.408617089061541,1.4684548188901113e-10,,
covid_decay_rho_098,COVID decay intervention (rho=0.98),covid_decay,0.98,level_noise,variance,6.965284435785885e-05,1.7327310863379782e-05,4.019830019040398,5.824014656551652e-05,,
covid_decay_rho_098,COVID decay intervention (rho=0.98),covid_decay,0.98,slope_noise,variance,1.596281142133991e-11,1.7584417034420704e-08,0.0009077816677171285,0.999275695122228,,
covid_decay_rho_098,COVID decay intervention (rho=0.98),covid_decay,0.98,seasonal_noise,variance,5.693540412390881e-05,1.482221634365344e-05,3.8412206922271346,0.00012242398375607373,,
covid_decay_rho_098,COVID decay intervention (rho=0.98),covid_decay,0.98,hike_effect,event,-0.01875669702572341,0.025651692355763832,-0.7312070005201374,0.464652724834585,-1.8581884856593869,2.517503556203226
covid_decay_rho_098,COVID decay intervention (rho=0.98),covid_decay,0.98,covid_main_effect,event,-0.029506843578169916,0.05937161111792414,-0.49698573143927827,0.6191991133299124,-2.9075766977427944,5.764533598798491
covid_decay_rho_098,COVID decay intervention (rho=0.98),covid_decay,0.98,covid_decay_effect,event,0.09763728567318831,0.06176979278534752,1.5806639664873372,0.11395489151655373,10.256279724945752,6.810507551893212
covid_decay_rho_098,COVID decay intervention (rho=0.98),covid_decay,0.98,post_stat_change_effect,event,-0.04116504507660462,0.026482214253945393,-1.554441206534372,0.12007921056751625,-4.032927205238597,2.5414205830748453
